"ADROIT PMS SERVICES PVT LTD
As of: 30/06/2020",,,,,,,,,,,,,
2,,,MISCELLANEOUS,,,,7.45%,,,,,,
,,,,,,,,,9,GEOJIT FINANCIAL SERVICES LIMITED,FINANCE,"151,082",3.27%
3,,,FINANCE,,,,78.77%,,,,,,
,,,,,,,,,10,HDFC BANK LIMITED,FINANCE,"342,174",7.40%
4,,,OTHERS,,,,6.77%,,,,,,
,,,,,,,,,11,ICICI BANK LIMITED,FINANCE,"825,426",17.86%
5,,,FINANCE,,,,3.73%,,,,,,
,,,,,,,,,12,KOTAK MAHINDRA BANK LIMITED,FINANCE,"555,344",12.02%
6,,,Futures,,,,"1,062.30%",,,,,,
,,,,,,,,,13,ORIENTAL BANK OF COMMERCE,FINANCE,"96,998",2.10%
7,,,FINANCE,,,,-540.66%,,,,,,
,,,,,,,,,14,STATE BANK OF INDIA LIMITED,FINANCE,"361,613",7.82%
8,,,INDUSTRIALS,,,,-521.64%,,,,,,
,,,,,,,,,15,YES BANK LIMITED,FINANCE,"58,926",1.28%
9,,,Cash and Equivalent,,,,-0.85%,,,,,,
,,,,,,,,,16,UJJIVAN FINANCIAL,OTHERS,"312,844",6.77%
10,,,Dividend / Interest receivable,,,,0.05%,,,,,,
,,,,,,,,,17,EDELWEISS FINANCIAL SERVICES LIMITED,FINANCE,"172,549",3.73%
,,,Total,,,,100%,,,,,,
,,,,,,,,,18,Notional Amount Adj.,Futures,"49,094,352","1,062.30"
,,,,,,,,,19,HOUSING DEVELOPMENT FINANCE CORPORATION LTD - 30/07/2020,FINANCE,"-24,986,831",-540.66%
Portfolio Summary,,,,,,,,,,,,,
Since 21/02/2020,,,,,Amount(INR),,,,,,,,
,,,,,,,,,20,ESCORTS LIMITED - 30/07/2020,INDUSTRIALS,"-24,107,521",-521.64%
Contribution,,,,,"6,818,302",,,,,,,,
,,,,,,,,,21,Cash,Cash and Equivalent,"-39,294",-0.85%
Withdrawal,,,,,0,,,,,,,,
,,,,,,,,,22,Dividend / Interest receivable,Dividend / Interest receivable,"2,137",0.05%
Profit/Loss,,,,,"-2,196,771",,,,,,,,
,,,,,,,,,,Total,,"4,621,531",100%
Portfolio Value(30/06/2020),,,,,"4,621,531",,,,,,,,
Performance(TWRR),,,,,,,,,,,,,
 ,, ,,MTD,QTD,YTD,,Since 21/02/20,,,,,
,,Portfolio,,-2.82%,-1.48%,-1.48%,,-32.22%,,,,,
,,NIFTY,,7.53%,19.82%,19.82%,,-14.72%,,,,,
,,BSE500,,8.24%,21.08%,21.08%,,-14.88%,,,,,
Portfolio returns are after management fees and other expenses. Return over 1 year period are annualised.,,,,,,,,,,,,,
"ADROIT PMS SERVICES PVT LTD, MUMBAI,MUMBAI-,MAHARASHTRA | Tel:",,,,,,,,,,,,,
 ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
"ADROIT PMS SERVICES PVT LTD
As of: 30/06/2020",,,,,,,,,,,,,
Portfolio Manager:  ADROIT FUND MANAGER,,,,,,,,,Portfolio Holdings,,,,
,,,,,,,,,Sr.,Security,Sector,Mkt Value,%Assets
Strategy:  ADROITPMS1,,,,,,,,,1,RBL BANK LIMITED,BANKS,"57,074",7.61%
Account:  6010003 - DELL ROCY   - ADT003,,,,,,,,,2,HDFC Life Insurance Company Ltd,MISCELLANEOUS,"119,164",15.88%
Inception Date:  21/03/2020,,,,,,,,,3,AXIS BANK LIMITED,FINANCE,"53,060",7.07%
"Investment Objective
",,,,,,,,,4,BAJAJ FINANCE LIMITED,FINANCE,"139,595",18.60%
,,,,,,,,,5,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,FINANCE,"11,158",1.49%
Sector Allocation ,,,,,,,,,,,,,
,,,,,,,,,6,HDFC BANK LIMITED,FINANCE,"92,223",12.29%
Sr.,,,Sector,,,,Assets (%),,,,,,
,,,,,,,,,7,HOUSING DEVELOPMENT FINANCE CORPORATION LTD,FINANCE,"88,187",11.75%
1,,,BANKS,,,,7.61%,,,,,,
2,,,MISCELLANEOUS,,,,15.88%,,,,,,
,,,,,,,,,8,ICICI BANK LIMITED,FINANCE,"156,819",20.90%
3,,,FINANCE,,,,100.79%,,,,,,
,,,,,,,,,9,INDUSIND BANK LIMITED,FINANCE,"18,268",2.43%
4,,,OTHERS,,,,21.81%,,,,,,
,,,,,,,,,10,KOTAK MAHINDRA BANK LIMITED,FINANCE,"197,003",26.25%
5,,,Futures,,,,"6,542.23%",,,,,,
,,,,,,,,,11,UJJIVAN FINANCIAL,OTHERS,"163,689",21.81%
6,,,FINANCE,,,,"-3,329.70%",,,,,,
,,,,,,,,,12,Notional Amount Adj.,Futures,"49,094,352","6,542.23"
7,,,INDUSTRIALS,,,,"-3,212.53%",,,,,,
,,,,,,,,,13,HOUSING DEVELOPMENT FINANCE CORPORATION LTD - 30/07/2020,FINANCE,"-24,986,831","-3,329.70"
8,,,Cash and Equivalent,,,,-46.14%,,,,,,
,,,,,,,,,14,ESCORTS LIMITED - 30/07/2020,INDUSTRIALS,"-24,107,521","-3,212.53"
9,,,Dividend / Interest receivable,,,,0.05%,,,,,,
,,,,,,,,,15,Cash,Cash and Equivalent,"-346,225",-46.14%
,,,Total,,,,100%,,,,,,
,,,,,,,,,16,Dividend / Interest receivable,Dividend / Interest receivable,406,0.05%
Portfolio Summary,,,,,,,,,,,,,
,,,,,,,,,,Total,,"750,422",100%
Since 21/03/2020,,,,,Amount(INR),,,,,,,,
Contribution,,,,,"1,372,242",,,,,,,,
Withdrawal,,,,,0,,,,,,,,
Profit/Loss,,,,,"-621,820",,,,,,,,
Portfolio Value(30/06/2020),,,,,"750,422",,,,,,,,
Performance(TWRR),,,,,,,,,,,,,
 ,, ,,MTD,QTD,YTD,,Since 21/03/20,,,,,
,,Portfolio,,-21.36%,-18.32%,-18.32%,,-45.31%,,,,,
,,NIFTY,,7.53%,19.82%,19.82%,,17.8%,,,,,
,,BSE500,,8.24%,21.08%,21.08%,,18.3%,,,,,
Portfolio returns are after management fees and other expenses. Return over 1 year period are annualised.,,,,,,,,,,,,,
"ADROIT PMS SERVICES PVT LTD, MUMBAI,MUMBAI-,MAHARASHTRA | Tel:",,,,,,,,,,,,,
 ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
"ADROIT PMS SERVICES PVT LTD
As of: 30/06/2020",,,,,,,,,,,,,
Portfolio Manager:  ADROIT FUND MANAGER,,,,,,,,,Portfolio Holdings,,,,
,,,,,,,,,Sr.,Security,Sector,Mkt Value,%Assets
Strategy:  ADROITPMS1,,,,,,,,,1,RBL BANK LIMITED,BANKS,"131,366",3.39%
Account:  6010004 - MIRZA GALIB   - ADT004,,,,,,,,,2,HDFC Life Insurance Company Ltd,MISCELLANEOUS,"299,677",7.74%
Inception Date:  05/03/2020,,,,,,,,,3,AXIS BANK LIMITED,FINANCE,"403,635",10.42%
"Investment Objective
",,,,,,,,,4,BAJAJ FINANCE LIMITED,FINANCE,"423,218",10.93%
,,,,,,,,,5,BANK OF BARODA,FINANCE,"219,579",5.67%
,,,,,,,,,6,BANK OF INDIA,FINANCE,"142,309",3.67%
Sector Allocation ,,,,,,,,,,,,,
,,,,,,,,,7,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,FINANCE,"22,163",0.57%
Sr.,,,Sector,,,,Assets (%),,,,,,
1,,,BANKS,,,,3.39%,,,,,,
,,,,,,,,,8,FEDERAL BANK LIMITED,FINANCE,"127,830",3.30%
2,,,MISCELLANEOUS,,,,7.74%,,,,,,
,,,,,,,,,9,GEOJIT FINANCIAL SERVICES LIMITED,FINANCE,"173,245",4.47%
3,,,FINANCE,,,,83.51%,,,,,,
,,,,,,,,,10,HDFC BANK LIMITED,FINANCE,"265,465",6.85%
4,,,OTHERS,,,,6.96%,,,,,,
,,,,,,,,,11,ICICI BANK LIMITED,FINANCE,"687,533",17.75%
5,,,FINANCE,,,,4.22%,,,,,,
,,,,,,,,,12,KOTAK MAHINDRA BANK LIMITED,FINANCE,"310,789",8.02%
6,,,Futures,,,,"1,267.57%",,,,,,
,,,,,,,,,13,ORIENTAL BANK OF COMMERCE,FINANCE,"97,668",2.52%
7,,,FINANCE,,,,-645.14%,,,,,,
,,,,,,,,,14,STATE BANK OF INDIA LIMITED,FINANCE,"309,842",8.00%
8,,,INDUSTRIALS,,,,-622.44%,,,,,,
,,,,,,,,,15,YES BANK LIMITED,FINANCE,"51,097",1.32%
9,,,Cash and Equivalent,,,,-5.86%,,,,,,
,,,,,,,,,16,UJJIVAN FINANCIAL,OTHERS,"269,627",6.96%
10,,,Dividend / Interest receivable,,,,0.05%,,,,,,
,,,,,,,,,17,EDELWEISS FINANCIAL SERVICES LIMITED,FINANCE,"163,336",4.22%
,,,Total,,,,100%,,,,,,
,,,,,,,,,18,Notional Amount Adj.,Futures,"49,094,352","1,267.57"
,,,,,,,,,19,HOUSING DEVELOPMENT FINANCE CORPORATION LTD - 30/07/2020,FINANCE,"-24,986,831",-645.14%
Portfolio Summary,,,,,,,,,,,,,
Since 05/03/2020,,,,,Amount(INR),,,,,,,,
,,,,,,,,,20,ESCORTS LIMITED - 30/07/2020,INDUSTRIALS,"-24,107,521",-622.44%
Contribution,,,,,"6,057,820",,,,,,,,
,,,,,,,,,21,Cash,Cash and Equivalent,"-227,061",-5.86%
Withdrawal,,,,,0,,,,,,,,
,,,,,,,,,22,Dividend / Interest receivable,Dividend / Interest receivable,"1,780",0.05%
Profit/Loss,,,,,"-2,184,722",,,,,,,,
,,,,,,,,,,Total,,"3,873,098",100%
Portfolio Value(30/06/2020),,,,,"3,873,098",,,,,,,,
Performance(TWRR),,,,,,,,,,,,,
 ,, ,,MTD,QTD,YTD,,Since 05/03/20,,,,,
,,Portfolio,,-5.79%,-3.15%,-3.15%,,-36.06%,,,,,
,,NIFTY,,7.53%,19.82%,19.82%,,-8.43%,,,,,
,,BSE500,,8.24%,21.08%,21.08%,,-8.44%,,,,,
Portfolio returns are after management fees and other expenses. Return over 1 year period are annualised.,,,,,,,,,,,,,
"ADROIT PMS SERVICES PVT LTD, MUMBAI,MUMBAI-,MAHARASHTRA | Tel:",,,,,,,,,,,,,
 ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
"ADROIT PMS SERVICES PVT LTD
As of: 30/06/2020",,,,,,,,,,,,,
Portfolio Manager:  ADROIT FUND MANAGER,,,,,,,,,Portfolio Holdings,,,,
,,,,,,,,,Sr.,Security,Sector,Mkt Value,%Assets
Strategy:  ADROITPMS1,,,,,,,,,1,RBL BANK LIMITED,BANKS,"164,208",4.36%
Account:  6010005 - RYNA M   - ADT005,,,,,,,,,2,HDFC Life Insurance Company Ltd,MISCELLANEOUS,"256,866",6.82%
Inception Date:  01/01/2020,,,,,,,,,3,AXIS BANK LIMITED,FINANCE,"405,530",10.76%
"Investment Objective
",,,,,,,,,4,BAJAJ FINANCE LIMITED,FINANCE,"425,434",11.29%
,,,,,,,,,5,BANK OF BARODA,FINANCE,"220,711",5.86%
,,,,,,,,,6,BANK OF INDIA,FINANCE,"143,030",3.80%
Sector Allocation ,,,,,,,,,,,,,
,,,,,,,,,7,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,FINANCE,"22,163",0.59%
Sr.,,,Sector,,,,Assets (%),,,,,,
1,,,BANKS,,,,4.36%,,,,,,
,,,,,,,,,8,FEDERAL BANK LIMITED,FINANCE,"128,486",3.41%
2,,,MISCELLANEOUS,,,,6.82%,,,,,,
,,,,,,,,,9,GEOJIT FINANCIAL SERVICES LIMITED,FINANCE,"174,156",4.62%
3,,,FINANCE,,,,90.37%,,,,,,
,,,,,,,,,10,HDFC BANK LIMITED,FINANCE,"267,189",7.09%
4,,,OTHERS,,,,6.18%,,,,,,
,,,,,,,,,11,ICICI BANK LIMITED,FINANCE,"691,009",18.34%
5,,,FINANCE,,,,4.36%,,,,,,
,,,,,,,,,12,KOTAK MAHINDRA BANK LIMITED,FINANCE,"484,016",12.85%
6,,,Futures,,,,"1,303.22%",,,,,,
,,,,,,,,,13,ORIENTAL BANK OF COMMERCE,FINANCE,"103,033",2.74%
7,,,FINANCE,,,,-663.28%,,,,,,
,,,,,,,,,14,STATE BANK OF INDIA LIMITED,FINANCE,"291,732",7.74%
8,,,INDUSTRIALS,,,,-639.94%,,,,,,
,,,,,,,,,15,YES BANK LIMITED,FINANCE,"47,847",1.27%
9,,,Cash and Equivalent,,,,-12.13%,,,,,,
,,,,,,,,,16,UJJIVAN FINANCIAL,OTHERS,"232,912",6.18%
10,,,Dividend / Interest receivable,,,,0.05%,,,,,,
,,,,,,,,,17,EDELWEISS FINANCIAL SERVICES LIMITED,FINANCE,"164,141",4.36%
,,,Total,,,,100%,,,,,,
,,,,,,,,,18,Notional Amount Adj.,Futures,"49,094,352","1,303.22"
,,,,,,,,,19,HOUSING DEVELOPMENT FINANCE CORPORATION LTD - 30/07/2020,FINANCE,"-24,986,831",-663.28%
Portfolio Summary,,,,,,,,,,,,,
Since 01/01/2020,,,,,Amount(INR),,,,,,,,
,,,,,,,,,20,ESCORTS LIMITED - 30/07/2020,INDUSTRIALS,"-24,107,521",-639.94%
Contribution,,,,,"6,089,174",,,,,,,,
,,,,,,,,,21,Cash,Cash and Equivalent,"-457,104",-12.13%
Withdrawal,,,,,0,,,,,,,,
,,,,,,,,,22,Dividend / Interest receivable,Dividend / Interest receivable,"1,789",0.05%
Profit/Loss,,,,,"-2,322,026",,,,,,,,
,,,,,,,,,,Total,,"3,767,147",100%
Portfolio Value(30/06/2020),,,,,"3,767,147",,,,,,,,
Performance(TWRR),,,,,,,,,,,,,
 ,, ,,MTD,QTD,YTD,,Since 01/01/20,,,,,
,,Portfolio,,-5.97%,-6.31%,-6.31%,,-38.13%,,,,,
,,NIFTY,,7.53%,19.82%,19.82%,,-15.34%,,,,,
,,BSE500,,8.24%,21.08%,21.08%,,-14.23%,,,,,
Portfolio returns are after management fees and other expenses. Return over 1 year period are annualised.,,,,,,,,,,,,,
"ADROIT PMS SERVICES PVT LTD, MUMBAI,MUMBAI-,MAHARASHTRA | Tel:",,,,,,,,,,,,,
 ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
